,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
124,"124	Influenza A virus (A/Athens/94/98 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
125,"125	Influenza A virus (A/Atlanta/211/89(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
126,"126	Influenza A virus (A/Auckland/108/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
127,"127	Influenza A virus (A/Auckland/10/97(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
128,"128	Influenza A virus (A/Auckland/176/99(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
129,"129	Influenza A virus (A/Auckland/5/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
130,"130	Influenza A virus (A/Auckland/5/97(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
131,"131	Influenza A virus (A/Auckland/9/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
132,"132	Influenza A virus (A/Australian shelduck/Western Australia/1756/1983(H15N2))	Tadorna tadornoides	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
133,"133	Influenza A virus (A/avian/China/417-428/98(H9N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
134,"134	Influenza A virus (A/avian/Ireland/PV46B/93(H9N3))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
135,"135	Influenza A virus (A/avian/NY/118353-1/01(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
136,"136	Influenza A virus (A/avian/NY/17150-7/2000(H6N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
137,"137	Influenza A virus (A/avian/NY/31588-2/00(H5N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
138,"138	Influenza A virus (A/avian/NY/31588-3/00(H5N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
139,"139	Influenza A virus (A/avian/NY/53726/00(H5N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
140,"140	Influenza A virus (A/avian/NY/70411-12/00(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
141,"141	Influenza A virus (A/avian/NY/73063-6/00(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
142,"142	Influenza A virus (A/avian/NY/74211-2/00(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
143,"143	Influenza A virus (A/avian/NY/76247-3/00(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
144,"144	Influenza A virus (A/avian/NY/7729-6/00(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
145,"145	Influenza A virus (A/avian/NY/81746-5/00(H7N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
146,"146	Influenza A virus (A/babbler/Fujian/320/04(H5N1))	Sylviidae	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
147,"147	Influenza A virus (A/Baikal teal/Hongze/16/2005)	Anas formosa	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
148,"148	Influenza A virus (A/Baikal teal/Xuyi/17/2005)	Anas formosa	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
149,"149	Influenza A virus (A/baikal teal/Xuyi/18/2005)	Anas formosa	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
150,"150	Influenza A virus (A/Bangkok/01/1979(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
151,"151	Influenza A virus (A/Bangkok/10/83(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
152,"152	Influenza A virus (A/Bangkok/1/1979(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
153,"153	Influenza A virus (A/Bangkok/122/94(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
154,"154	Influenza A virus (A/Bangkok/139/90(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
155,"155	Influenza A virus (A/Bangkok/144/90(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
