,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
2430,"9532	Influenza B virus (B/Mississippi/2/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2431,"9533	Influenza B virus (B/Mississippi/3/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2432,"9534	Influenza B virus (B/Mississippi/3/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2433,"9535	Influenza B virus (B/Mississippi/4/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2434,"9536	Influenza B virus (B/Mississippi/4e/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2435,"9537	Influenza B virus (B/Missouri/11/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2436,"9538	Influenza B virus (B/Missouri/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2437,"9539	Influenza B virus (B/Missouri/20/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2438,"9540	Influenza B virus (B/Missouri/2/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2439,"9541	Influenza B virus (B/Missouri/6/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2440,"9542	Influenza B virus (B/Montana/1/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2441,"9543	Influenza B virus (B/Montana/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2442,"9544	Influenza B virus (B/Montana/1e/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2443,"9545	Influenza B virus (B/Moscow/16/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2444,"9546	Influenza B virus (B/Moscow/3/03)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2445,"9547	Influenza B virus (B/Nagoya/20/99)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2446,"9548	Influenza B virus (B/Nairobi/351/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2447,"9549	Influenza B virus (B/Nairobi/670/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2448,"9550	Influenza B virus (B/Nanchang/1/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2449,"9551	Influenza B virus (B/Nanchang/1/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2450,"9552	Influenza B virus (B/Nanchang/12/98)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2451,"9553	Influenza B virus (B/Nanchang/15/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2452,"9554	Influenza B virus (B/Nanchang/15/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2453,"9555	Influenza B virus (B/Nanchang/195/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2454,"9556	Influenza B virus (B/Nanchang/20/96)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2455,"9557	Influenza B virus (B/Nanchang/26/93)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2456,"9558	Influenza B virus (B/Nanchang/2/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2457,"9559	Influenza B virus (B/Nanchang/3/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2458,"9560	Influenza B virus (B/Nanchang/480/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2459,"9561	Influenza B virus (B/Nanchang/4/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2460,"9562	Influenza B virus (B/Nanchang/560/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2461,"9563	Influenza B virus (B/Nanchang/560a/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2462,"9564	Influenza B virus (B/Nanchang/560b/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2463,"9565	Influenza B virus (B/Nanchang/5/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2464,"9566	Influenza B virus (B/Nanchang/630/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2465,"9567	Influenza B virus (B/Nanchang/6/96)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2466,"9568	Influenza B virus (B/Nanchang/6/98)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2467,"9569	Influenza B virus (B/Nanchang/7/98)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2468,"9570	Influenza B virus (B/Nanchang/8/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2469,"9571	Influenza B virus (B/Nashville/107/93)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2470,"9572	Influenza B virus (B/Nashville/34/96)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2471,"9573	Influenza B virus (B/Nashville/3/96)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2472,"9574	Influenza B virus (B/Nashville/45/91)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2473,"9575	Influenza B virus (B/Nashville/48/91)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2474,"9576	Influenza B virus (B/Nashville/6/89)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2475,"9577	Influenza B virus (B/Nebraska/1/01)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2476,"9578	Influenza B virus (B/Nebraska/1/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2477,"9579	Influenza B virus (B/Nebraska/2/01)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2478,"9580	Influenza B virus (B/Nebraska/4/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2479,"9581	Influenza B virus (B/Nebraska/5/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2480,"9582	Influenza B virus (B/Nepal/1078/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2481,"9583	Influenza B virus (B/Nepal/1079/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2482,"9584	Influenza B virus (B/Nepal/1080/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2483,"9585	Influenza B virus (B/Nepal/1087/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2484,"9586	Influenza B virus (B/Nepal/1088/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2485,"9587	Influenza B virus (B/Nepal/1089/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2486,"9588	Influenza B virus (B/Nepal/1090/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2487,"9589	Influenza B virus (B/Nepal/1092/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2488,"9590	Influenza B virus (B/Nepal/1098/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2489,"9591	Influenza B virus (B/Nepal/1101/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2490,"9592	Influenza B virus (B/Nepal/1103/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2491,"9593	Influenza B virus (B/Nepal/1104/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2492,"9594	Influenza B virus (B/Nepal/1105/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2493,"9595	Influenza B virus (B/Nepal/1106/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2494,"9596	Influenza B virus (B/Nepal/1108/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2495,"9597	Influenza B virus (B/Nepal/1114/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2496,"9598	Influenza B virus (B/Nepal/1117/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2497,"9599	Influenza B virus (B/Nepal/1118/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2498,"9600	Influenza B virus (B/Nepal/1120/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2499,"9601	Influenza B virus (B/Nepal/1122/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2500,"9602	Influenza B virus (B/Nepal/1131/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2501,"9603	Influenza B virus (B/Nepal/1132/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2502,"9604	Influenza B virus (B/Nepal/1136/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2503,"9605	Influenza B virus (B/Nepal/1137/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2504,"9606	Influenza B virus (B/Nepal/1138/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2505,"9607	Influenza B virus (B/Nepal/1139/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2506,"9608	Influenza B virus (B/Nepal/1331/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2507,"9609	Influenza B virus (B/Netherland/2781/90)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2508,"9610	Influenza B virus (B/Netherland/6357/90)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2509,"9611	Influenza B virus (B/Netherland/800/90)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2510,"9612	Influenza B virus (B/Netherland/801/90)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2511,"9613	Influenza B virus (B/Netherlands/13/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2512,"9614	Influenza B virus (B/Netherlands/1/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2513,"9615	Influenza B virus (B/Netherlands/2/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2514,"9616	Influenza B virus (B/Netherlands/31/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2515,"9617	Influenza B virus (B/Netherlands/32/94)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2516,"9618	Influenza B virus (B/Netherlands/384/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2517,"9619	Influenza B virus (B/Netherlands/429/98)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2518,"9620	Influenza B virus (B/Netherlands/580/89)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2519,"9621	Influenza B virus (B/Netherlands/6/96)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2520,"9622	Influenza B virus (B/Nevada/1/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2521,"9623	Influenza B virus (B/Nevada/1/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2522,"9624	Influenza B virus (B/Nevada/1/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2523,"9625	Influenza B virus (B/Nevada/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2524,"9626	Influenza B virus (B/Nevada/2/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2525,"9627	Influenza B virus (B/Nevada/2/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2526,"9628	Influenza B virus (B/Nevada/3/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2527,"9629	Influenza B virus (B/Nevada/5/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2528,"9630	Influenza B virus (B/New Jersey/1/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2529,"9631	Influenza B virus (B/New Jersey/1/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2530,"9632	Influenza B virus (B/New Jersey/1/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2531,"9633	Influenza B virus (B/New Jersey/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2532,"9634	Influenza B virus (B/New Jersey/3/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2533,"9635	Influenza B virus (B/New Jersey/3/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2534,"9636	Influenza B virus (B/New Jersey/4/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2535,"9637	Influenza B virus (B/New Jersey/5/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2536,"9638	Influenza B virus (B/New Jersey/6/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2537,"9639	Influenza B virus (B/New Mexico/1/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2538,"9640	Influenza B virus (B/New Mexico/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2539,"9641	Influenza B virus (B/New Mexico/2/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2540,"9642	Influenza B virus (B/New Mexico/9/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2541,"9643	Influenza B virus (B/New York/10/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2542,"9644	Influenza B virus (B/New York/11/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2543,"9645	Influenza B virus (B/New York/1/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2544,"9646	Influenza B virus (B/New York/1/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2545,"9647	Influenza B virus (B/New York/1/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2546,"9648	Influenza B virus (B/New York/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2547,"9649	Influenza B virus (B/New York/12/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2548,"9650	Influenza B virus (B/New York/12/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2549,"9651	Influenza B virus (B/New York/12e/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2550,"9652	Influenza B virus (B/New York/14e/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2551,"9653	Influenza B virus (B/New York/17/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2552,"9654	Influenza B virus (B/New York/18/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2553,"9655	Influenza B virus (B/New York/19/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2554,"9656	Influenza B virus (B/New York/20139/99)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2555,"9657	Influenza B virus (B/New York/2/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2556,"9658	Influenza B virus (B/New York/2/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2557,"9659	Influenza B virus (B/New York/2/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2558,"9660	Influenza B virus (B/New York/2e/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2559,"9661	Influenza B virus (B/New York/40/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2560,"9662	Influenza B virus (B/New York/47/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2561,"9663	Influenza B virus (B/New York/6/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2562,"9664	Influenza B virus (B/New York/7/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2563,"9665	Influenza B virus (B/New York/8/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2564,"9666	Influenza B virus (B/New York/9/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2565,"9667	Influenza B virus (B/New York/9/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2566,"9668	Influenza B virus (B/NIB/48/90)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2567,"9669	Influenza B virus (B/Ningxia/45/83)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2568,"9670	Influenza B virus (B/North Carolina/1/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2569,"9671	Influenza B virus (B/North Carolina/3/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2570,"9672	Influenza B virus (B/North Carolina/4/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2571,"9673	Influenza B virus (B/North Carolina/5/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2572,"9674	Influenza B virus (B/Norway/1/84)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2573,"9675	Influenza B virus (B/Ohio/1e/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2574,"9676	Influenza B virus (B/Ohio/1e4/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2575,"9677	Influenza B virus (B/Ohio/1/X-19/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2576,"9678	Influenza B virus (B/Ohio/2/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2577,"9679	Influenza B virus (B/Ohio/2e/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2578,"9680	Influenza B virus (B/Oita/15/1992)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2579,"9681	Influenza B virus (B/Oklahoma/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2580,"9682	Influenza B virus (B/Oklahoma/2/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2581,"9683	Influenza B virus (B/Oman/16291/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2582,"9684	Influenza B virus (B/Oman/16296/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2583,"9685	Influenza B virus (B/Oman/16299/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2584,"9686	Influenza B virus (B/Oman/16305/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2585,"9687	Influenza B virus (B/Oregon/1/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2586,"9688	Influenza B virus (B/Oregon/1/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2587,"9689	Influenza B virus (B/Oregon/5/80)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2588,"9690	Influenza B virus (B/Osaka/1036/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2589,"9691	Influenza B virus (B/Osaka/1058/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2590,"9692	Influenza B virus (B/Osaka/1059/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2591,"9693	Influenza B virus (B/Osaka/1146/1997)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
2592,"9694	Influenza B virus (B/Osaka/1169/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
